--2020-07-24 04:00:02--  ftp://bks-speedtest-1.tele2.net/100MB.zip
           => ‘/dev/null’
Resolving bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)... 90.130.74.113, 2a00:800:1010:9::2
Connecting to bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)|90.130.74.113|:21... connected.
Logging in as anonymous ... Logged in!
==> SYST ... done.    ==> PWD ... done.
==> TYPE I ... done.  ==> CWD not needed.
==> SIZE 100MB.zip ... 104857600
==> PASV ... done.    ==> RETR 100MB.zip ... done.
Length: 104857600 (100M) (unauthoritative)

     0K .......... .......... .......... .......... ..........  0%  443K 3m51s
    50K .......... .......... .......... .......... ..........  0%  933K 2m50s
   100K .......... .......... .......... .......... ..........  0% 1.59M 2m14s
   150K .......... .......... .......... .......... ..........  0% 2.02M 1m53s
   200K .......... .......... .......... .......... ..........  0% 2.82M 97s
   250K .......... .......... .......... .......... ..........  0% 3.35M 86s
   300K .......... .......... .......... .......... ..........  0% 4.12M 77s
   350K .......... .......... .......... .......... ..........  0% 4.77M 70s
   400K .......... .......... .......... .......... ..........  0% 5.53M 64s
   450K .......... .......... .......... .......... ..........  0% 6.06M 60s
   500K .......... .......... .......... .......... ..........  0% 6.13M 56s
   550K .......... .......... .......... .......... ..........  0% 6.19M 52s
   600K .......... .......... .......... .......... ..........  0% 9.00M 49s
   650K .......... .......... .......... .......... ..........  0% 7.98M 46s
   700K .......... .......... .......... .......... ..........  0% 9.55M 44s
   750K .......... .......... .......... .......... ..........  0% 8.98M 42s
   800K .......... .......... .......... .......... ..........  0% 11.1M 40s
   850K .......... .......... .......... .......... ..........  0% 12.0M 38s
   900K .......... .......... .......... .......... ..........  0% 11.5M 37s
   950K .......... .......... .......... .......... ..........  0% 14.3M 35s
  1000K .......... .......... .......... .......... ..........  1% 13.1M 34s
  1050K .......... .......... .......... .......... ..........  1% 13.5M 33s
  1100K .......... .......... .......... .......... ..........  1% 13.3M 31s
  1150K .......... .......... .......... .......... ..........  1% 12.7M 30s
  1200K .......... .......... .......... .......... ..........  1% 18.0M 29s
  1250K .......... .......... .......... .......... ..........  1% 16.9M 29s
  1300K .......... .......... .......... .......... ..........  1% 15.7M 28s
  1350K .......... .......... .......... .......... ..........  1% 17.1M 27s
  1400K .......... .......... .......... .......... ..........  1% 21.4M 26s
  1450K .......... .......... .......... .......... ..........  1% 16.4M 25s
  1500K .......... .......... .......... .......... ..........  1% 13.9M 25s
  1550K .......... .......... .......... .......... ..........  1% 27.8M 24s
  1600K .......... .......... .......... .......... ..........  1% 23.4M 24s
  1650K .......... .......... .......... .......... ..........  1% 16.2M 23s
  1700K .......... .......... .......... .......... ..........  1% 27.1M 22s
  1750K .......... .......... .......... .......... ..........  1% 27.5M 22s
  1800K .......... .......... .......... .......... ..........  1% 24.7M 21s
  1850K .......... .......... .......... .......... ..........  1% 18.9M 21s
  1900K .......... .......... .......... .......... ..........  1% 31.3M 20s
